latitude,longitude,counts,state,county
27.804489,-97.431553,16933,Texas,Nueces County
29.922894,-93.909018,16837,Texas,Jefferson County
32.664753,-97.337917,16044,Texas,Tarrant County
29.670025,-95.128508,11341,Texas,Harris County
33.58553,-101.78698,8717,Texas,Lubbock County
30.350302,-95.425128,8697,Texas,Montgomery County
29.583047,-95.015544,8668,Texas,Harris County
26.0711,-97.1577,8665,Texas,Cameron County
27.811817,-97.465703,8640,Texas,Nueces County
29.695729,-95.499219,8622,Texas,Harris County
35.201592,-101.909275,8620,Texas,Potter County
29.275381,-98.311692,8579,Texas,Bexar County
29.767997,-95.220582,8552,Texas,Harris County
31.870259,-102.334745,8544,Texas,Ector County
32.759154,-97.342332,8537,Texas,Tarrant County
31.765685,-106.455227,8530,Texas,El Paso County
32.820061,-96.860117,8527,Texas,Dallas County
33.219069,-97.196284,8525,Texas,Denton County
30.35386,-97.69166,8512,Texas,Travis County
30.263204,-97.712891,8512,Texas,Travis County
32.564968,-96.317687,8508,Texas,Kaufman County
29.901036,-95.326137,8504,Texas,Harris County
32.669001,-94.167468,8483,Texas,Harrison County
29.770698,-95.031232,8478,Texas,Harris County
27.599444,-99.533333,8406,Texas,Webb County
29.51509,-98.620166,8382,Texas,Bexar County
30.628333,-96.362777,8377,Texas,Brazos County
29.723333,-95.635833,8336,Texas,Harris County
29.828086,-95.284096,8312,Texas,Harris County
32.80581,-97.356529,8298,Texas,Tarrant County
32.774262,-96.797686,8259,Texas,Dallas County
29.81453,-95.38769,8242,Texas,Harris County
30.194167,-93.866944,8146,Texas,Orange County
30.354944,-97.761803,8128,Texas,Travis County
28.704607,-100.451156,8031,Texas,Maverick County
31.122419,-97.431052,7995,Texas,Bell County
27.422433,-97.300869,7956,Texas,Kleberg County
29.162997,-98.589158,7914,Texas,Atascosa County
26.288622,-98.152066,7695,Texas,Hidalgo County
33.436111,-94.07778,7689,Texas,Bowie County
29.254474,-94.861289,7665,Texas,Galveston County
32.031934,-96.399141,7635,Texas,Navarro County
29.529432,-98.391403,7335,Texas,Bexar County
29.30265,-103.17781,7155,Texas,Brewster County
29.863957,-94.317802,6810,Texas,Jefferson County
25.900911,-97.507783,6247,Texas,Cameron County
25.892518,-97.49383,2229,Texas,Cameron County
26.226343,-98.29085,1956,Texas,Hidalgo County
29.635,-98.4177,1006,Texas,Bexar County
